soma_joinid,doi,title,method_headers
1053,10.1038/s41467-022-35297-z,Single-cell profiling of healthy human kidney reveals features of sex-based transcriptional programs and tissue-specific immunity,"[""Experimental model and subject details"", ""Experimental method details"", ""Gene expression validation studies"", ""Quantification and statistical analysis"", ""Figure preparation"", ""Reporting summary""]"
1064,10.1073/pnas.2121720119,Cellular and transcriptional diversity over the course of human lactation,"[""Donor Enrollment and Breast Milk Collection."", ""Cell Isolation."", ""Generation of scRNA-seq Data with Seq-Well S3."", ""Analysis of scRNA-seq Data.""]"
1065,10.1038/s41467-023-40505-5,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,"[""Data collection"", ""Single-cell genomic data analysis"", ""Defining and classifying open chromatin regions"", ""Comparing snRNA-seq and scATAC-seq"", ""Comparing the cell labels in our study with Litviňuková’s et al."", ""Comparing the OCRs in our study with Hocker et al."", ""Identifying putative TFs regulating chromatin accessibility"", ""SCAVENGE analysis"", ""Testing enrichment of GWAS risk variants in functional annotations"", ""Fine-mapping causal variants in AF-associated loci"", ""Annotating putative AF causal variants with additional functional data"", ""Assessing regulatory effects of candidate variants by Luciferase assay"", ""Gene mapping procedure with Mapgen"", ""Benchmarking performance of different methods for risk gene identification"", ""Gene interaction network analysis"", ""eQTL tissue sharing analysis"", ""Reporting summary""]"
1073,10.1126/science.abl5197,Cross-tissue immune cell analysis reveals tissue-specific features in humans,"[""Tissue acquisition, processing and single-cell sequencing"", ""scRNA-seq and scVDJ-seq data analysis"", ""CellTypist"", ""Single molecule FISH, flow cytometry, qPCR and Immunofluorescence""]"
1076,10.1242/dev.199711,Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features,"[""Sample processing"", ""Single-cell RNA sequencing"", ""Quality control and filtering"", ""Cell cycle and gene module scoring"", ""Normalisation, integration and dimension reduction"", ""Cell type classification"", ""Mouse and human correlation analysis"", ""Comparison with bulkin vitroRNA-seq data"", ""Correlation analysis forPAX7"", ""RNA velocity"", ""CellRank trajectory analysis"", ""Immunostaining and microscopy"", ""RNAscope FISH with immunohistochemistry"", ""Image analyses of mouse and human spinal cord sections""]"
1103,10.1038/s41593-021-00872-y,Spatial and cell-type transcriptional landscape of human cerebellar development,"[""Cerebellum samples"", ""Histology, immunohistochemistry, andin situhybridization analyses"", ""Laser capture microdissection"", ""RNA-seq and analysis"", ""Gene co-expression network analyses"", ""BrainSpan RNA-seq data"", ""SPLiT-seq method"", ""snRNA-seq analysis"", ""Cell type deconvolution"", ""Cross-species analysis"", ""Gene set curation"", ""Cell type enrichment analysis"", ""Statistical Tests""]"
1120,10.3390/cells13231991,Transcriptomic Analysis of Air–Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation,"[""2.1. Organoid Culture"", ""2.2. Organoid-Derived Transitional Differentiated Cell Culture"", ""2.3. Sample Preparation for scRNA-Seq"", ""2.4. scRNA-Seq Quality Control, Normalization, and Data Integration"", ""2.5. RNA Velocity and Psudotime Analyses"", ""2.6. Tissue Similarity Evaluation"", ""2.7. Differential Gene Expression Analyses and Further In-Silico Analyses Using iPathwayGuide""]"
1148,10.1016/j.isci.2023.106877,A comprehensive mouse kidney atlas enables rare cell population characterization and robust marker discovery,"[""Key resources table"", ""Resource availability"", ""Method details""]"
1155,10.1016/j.xcrm.2023.101158,Prolonged cytopenia following CD19 CAR T cell therapy is linked with bone marrow infiltration of clonally expanded IFNγ-expressing CD8 T cells,"[""Key resources table"", ""Resource availability"", ""Experimental model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
1157,10.1101/2024.10.27.620502,Transcriptional profiles of murine oligodendrocyte precursor cells across the lifespan,"[""Animal care and use"", ""Generation of Matn4-mEGFP mouse line"", ""Immunohistochemistry"", ""Head plate installation and cranial window surgery"", ""In vivo two-photon laser scanning microscopy"", ""Cell Isolation, Enrichment, and cDNA Library Preparation"", ""Data analysis"", ""Immunofluorescence and RNA fluorescence in situ hybridization chain reaction (HCR IF + HCR RNA-FISH)"", ""Image analysis of FISH"", ""Isolation of oligodendrocyte progenitor cells"", ""Culture of adult oligodendrocyte progenitor cells"", ""Imaging and quantification of in vitro pharmacological assays""]"
1161,10.1038/s41467-024-49037-y,Single-cell and spatially resolved interactomics of tooth-associated keratinocytes in periodontitis,"[""Ethics statement"", ""Human integrated periodontitis atlas and mouse keratinocyte atlas generation and analysis"", ""Spatial validation and analysis of keratinocytes"", ""Human primary cell culture and analysis"", ""Statistical methods"", ""Reporting summary""]"
1183,10.1158/2643-3230.BCD-21-0075,Follicular Lymphoma Microenvironment Characteristics Associated with Tumor Cell Mutations and MHC Class II Expression,"[""Sample Collection and Single-Cell Preparation"", ""Single-cell RNA-Library Construction and Sequencing"", ""Single-cell V(D)J Enrichment Library Construction and Sequencing"", ""scRNA-seq Bioinformatics"", ""Whole-Exome Sequencing Data Processing and Genotyping QC"", ""Validation of the scRNA-seq Signatures with a Public scRNA-seq Data Set"", ""lymphoma microenvironment Identification with Public Bulk RNA-seq Data Sets Using Unsupervised Clustering"", ""Deconvolution to Determine Tissue Cell Composition from Pseudobulk Gene-Expression Data"", ""Construction of Immunoglobulin Hierarchy Tree"", ""Statistical Analysis"", ""Multiplex Immunofluorescence Staining and Image Analysis"", ""IHC for HLA-DR"", ""Data Availability""]"
1208,10.1038/s42003-021-02562-8,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma,"[""Human subjects"", ""Animal studies, PDX generation, and monitoring"", ""Immunohistochemisty and second harmonic generation microscopy"", ""Real-time PCR expression and Western blot analysis"", ""Bulk RNA sequencing"", ""Single-cell sequencing and read processing"", ""Preprocessing, integration, and clustering of single-cell data"", ""Tumor cell clustering"", ""RNA velocity"", ""Cell cycle scoring"", ""Transcriptional profile correlation evaluation"", ""Differential gene expression and gene enrichment analysis"", ""Network analysis"", ""Statistical evaluation and reproducibility"", ""Biological material availability"", ""Reporting summary""]"
1213,10.1161/CIRCULATIONAHA.120.051921,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor,"[""Human Ethics and Tissue Collection"", ""Animal Ethics and Tissue Collection"", ""Cardiac Nuclei Isolation"", ""SnRNA-Seq Library Preparation and Sequencing"", ""PCM1 Cardiomyocyte Nuclei Enrichment, RNA-Seq Library Preparation, and Sequencing"", ""PCM1+ Cardiomyocyte Bulk Assay for Transposase-Accessible Chromatin Sequencing Library Preparation and Sequencing"", ""Bioinformatics Analysis for SnRNA-Seq"", ""PCM1+ Cardiomyocyte Bulk RNA-Seq and ATAC-Seq Bioinformatics Analyses"", ""Human-Induced Pluripotent Stem Cell–Cardiomyocyte Differentiation for ATAC-Seq"", ""Human Embryonic Stem Cell–Derived Cardiomyocyte Differentiation, Extracellular Field Potential, and Impedance Analysis"", ""Human Cardiac Organoid Differentiation and Functional Analysis"", ""Statistical Analysis"", ""Data Access""]"
1216,10.1038/s42255-022-00531-x,Single-cell multi-omics analysis of human pancreatic islets reveals novel cellular states in Type 1 Diabetes,"[""Experimental model and subject details"", ""scRNA-seq islet capture, sequencing, and processing"", ""scRNA-seq clustering, doublet removal, & cell type classification"", ""Differential Gene Expression, GSEA analysis, and Metascape analysis"", ""Hybrid cell co-expression, DE analysis and heatmaps"", ""CyTOF data collection, input files, and preprocessing"", ""TooManyCells clustering for CyTOF"", ""Imaging mass cytometry (IMC) analysis and Cell Segmentation"", ""TooManyCells clustering for IMC"", ""Cell-neighborhood analysis for IMC"", ""Machine-learning method for cell annotation in IMC and CyTOF"", ""IF and confocal microscopy"", ""Statistical analysis of box plots with Control, AAB+, and T1D donor states"", ""Statistical analysis of cellular neighborhoods"", ""Statistical analysis of gene signatures in GAD+ donors"", ""Assessment of common genetic variants associated with T1D""]"
1227,10.1038/s41467-024-45165-7,Single nuclei transcriptomics in human and non-human primate striatum in opioid use disorder,"[""Human individuals"", ""Isolation of nuclei from human postmortem brain tissue and library preparation"", ""Nonhuman primate subjects"", ""Chronic morphine dosing in nonhuman primate subjects"", ""Rhesus brain tissue preparation"", ""Single nucleus RNA sequencing in rhesus brain tissue"", ""Single nuclei RNAseq data processing"", ""Labeling striatum cells with a macaque snRNA reference dataset"", ""Annotating interneurons with mouse marker genes"", ""Differential gene and cellular state expression analysis in humans"", ""Gene set enrichment analyses"", ""Transcription factor-gene regulatory network analyses"", ""Analyses of cellular activation of gene sets"", ""High-dimensional weighted gene co-expression network analysis (hdWGCNA)"", ""Statistical analyses"", ""Reporting summary""]"
1229,10.1084/jem.20232192,Interstitial macrophages are a focus of viral takeover and inflammation in COVID-19 initiation in human lung,"[""Ex vivo culture of human lung tissue"", ""Cell lines"", ""SARS-CoV-2 infections"", ""Plaque assay"", ""Viral inactivation and remdesivir treatment"", ""Single-cell mRNA sequencing"", ""Iterative cell clustering and annotation"", ""Viral takeover analysis"", ""Viral pseudotime analysis"", ""Subgenomic RNA analysis"", ""Immunostaining and single molecule in situ hybridization"", ""Macrophage isolation and enrichment"", ""FACS purification of AMs and IMs"", ""RNA hybridization chain reaction (HCR) and immunofluorescence (IF) staining"", ""Analysis and scoring of infected macrophages"", ""SR microscopy"", ""Pseudotyped lentivirus production"", ""Neutralizing antibodies"", ""Entry and neutralization assays"", ""Statistics and reproducibility"", ""Online supplemental material""]"
1244,10.1016/j.cell.2021.02.018,Time-resolved systems immunology reveals a late juncture linked to fatal COVID-19,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis"", ""Data visualization and data table handling""]"
1267,10.1101/2024.11.03.621787,Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,"[""Postmortem brain tissue"", ""Single nuclear isolation and neuronal nuclei enrichment"", ""snRNA-seq of postmortem human brain nuclei"", ""Preprocessing, quality control, and integration of snRNA-seq data"", ""Major cell type, neuronal subtype, and glial cell state annotations"", ""Cell identity prediction using scANVI"", ""Neuronal subtype proportion quantification"", ""Spatial transcriptomics"", ""Integration of snRNA-seq and spatial transcriptomics"", ""Co-expression network analysis"", ""Differential gene expression analysis"", ""Functional enrichment analysis"", ""Immunohistochemistry in human brain tissue"", ""Experimental animals"", ""AAV-driven KCNIP4 expression in excitatory neurons in adult mice"", ""Immunoblotting of mouse cortex tissue"", ""Immunohistochemistry in mouse brain tissue""]"
1292,10.1007/s00401-023-02599-5,Cryptic exon detection and transcriptomic changes revealed in single-nuclei RNA sequencing ofC9ORF72patients spanning the ALS-FTD spectrum,"[""Postmortem tissue samples"", ""Isolation and purification of nuclei"", ""10x Genomics snRNA-seq and sequencing"", ""SnRNA-Seq quality control filtering and normalization"", ""Batch correction and cluster generation"", ""Cluster cell type annotation"", ""Cryptic exon junction analysis"", ""Cryptic exon differential gene expression and pathway analysis"", ""Deeply sequenced subject—C9-FTD 4"", ""Coverage analysis"", ""IGV analysis"", ""Data availability""]"
1322,10.1038/s41590-023-01584-0,Single-cell multiomic analysis of thymocyte development reveals drivers of CD4+T cell and CD8+T cell lineage commitment,"[""Mice"", ""CITE-seq experiment"", ""CITE-seq data preprocessing"", ""totalVI analysis of all CITE-seq data"", ""totalVI analysis of positive selection subset of CITE-seq data"", ""Pseudotime inference"", ""In silico flow cytometry and gating"", ""Adult thymocyte population analysis with fluorescence-based flow cytometry"", ""Differential expression analysis of positively selecting thymocytes with totalVI"", ""Transcription factor enrichment analysis"", ""Neonatal thymic slice experiments"", ""Computational multidimensional analyses of flow cytometry data"", ""In vivo EdU labeling and calcineurin blockade in adult mice"", ""In vitro TCR activation and staining for p-ERK"", ""Statistical analyses"", ""Reporting summary""]"
1324,10.1172/jci.insight.176963,Coordinated immune dysregulation in juvenile dermatomyositis revealed by single-cell genomics,"[""Sex as a biological variable."", ""Study cohort and sample processing."", ""CITEseq of human PBMCs."", ""Sequencing data preprocessing and integration."", ""Cell type proportion analysis."", ""Differential gene and protein expression analysis."", ""Identification of global IFN signature."", ""Network inference from RNA data using DECIPHERseq."", ""Validating signatures in independent data."", ""Statistics."", ""Study approval."", ""Data availability.""]"
1341,10.1038/s41586-023-05769-3,An atlas of healthy and injured cell states and niches in the human kidney,"[""Statistics and reproducibility"", ""Ethical compliance"", ""Single-cell and single-nucleus human tissue samples"", ""Single-cell, single-nucleus and SNARE2 RNA-seq, quality control and clustering"", ""Atlas cell type resolution"", ""Integrating snCv3 and SNARE2 datasets"", ""Integrating snCv3 and scCv3 datasets"", ""Assessment of snCv3, scCv3 and SNARE2 data integration"", ""Integrating snCv3 with published datasets"", ""NSForest marker genes"", ""Correlation analyses"", ""Cross-species alignment of cell types/states"", ""Computing single-nucleus/cell-level expression scores"", ""Gene set enrichment analyses (GSEA)"", ""SNARE2 accessible chromatin analyses"", ""DAR analyses"", ""Transcription factor analyses"", ""Ligand–receptor interaction analyses"", ""GWAS analyses"", ""Disease-associated gene set enrichment analyses"", ""Patient cohorts used for clinical association analyses"", ""Clinical association of cell state scores"", ""Sample-level analysis and clustering on clinical association gene sets"", ""Pseudotime analysis of PT and TAL cells"", ""Gene module detection and cell assignment"", ""RNA velocity analyses"", ""GRN analyses"", ""SLIDE-seq2"", ""10x Visium spatial transcriptomics"", ""Label-free and multifluorescence large-scale 3D imaging"", ""Confocal immunofluorescence microscopy"", ""In situ hybridization"", ""Tissue cytometry and in situ cell classification"", ""3D neighbourhood building and representation"", ""Neighbourhood visualization and statistical analysis"", ""Plots and figures"", ""Reporting summary""]"
1346,10.1016/j.xcrm.2024.101556,Transcriptomic and spatial dissection of humanex vivoright atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,"[""Key resources table"", ""Resource availability"", ""Experimental model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
1351,10.1016/j.jcmgh.2022.02.007,A Proximal-to-Distal Survey of Healthy Adult Human Small Intestine and Colon Epithelium by Single-Cell Transcriptomics,"[""Donor Selection"", ""Tissue Processing"", ""Sample Preparation"", ""Immunofluorescence and In Situ Hybridization"", ""Data Preparation and Hashtag Calling"", ""Data Processing, Filtering, Doublet Removal, and Feature Selection"", ""Identifying Transcriptionally Distinct Subclusters"", ""Online Databases"", ""Trajectory Analysis"", ""Differential Expression Analysis""]"
1369,10.1016/j.cell.2024.07.041,Thyroid hormone remodels cortex to coordinate body-wide metabolism and exploration,"[""RESOURCE AVAILABILITY"", ""EXPERIMENTAL MODEL AND STUDY PARTICIPANT DETAILS"", ""METHOD DETAILS"", ""QUANTIFICATION AND STATISTICAL ANALYSIS""]"
1389,10.1101/2023.12.26.573390,Single-cell transcriptional mapping reveals genetic and non-genetic determinants of aberrant differentiation in AML,"[""Biological Samples:"", ""Computational Analyses:""]"
1397,10.1038/s42003-024-07315-x,Cross-species single-cell RNA-seq analysis reveals disparate and conserved cardiac and extracardiac inflammatory responses upon heart injury,"[""Mouse maintenance"", ""Mouse LAD ligation procedure"", ""Echocardiography"", ""Venipuncture mouse blood collection"", ""Mouse tissues single cell isolation"", ""Mouse cardiac macrophages isolation"", ""Mouse single cell-RNA sequencing"", ""Mouse RNA extraction and qPCR analysis"", ""Histology and immunostaining for mouse samples"", ""White blood cell counts"", ""Flow cytometry and cell sorting for mouse samples"", ""IPA analysis"", ""Zebrafish maintenance"", ""Zebrafish cell isolation and single cell-RNA sequencing"", ""scRNA-seq analysis"", ""Cross-species comparisons"", ""Zebrafish histology and microscopy"", ""Statistics and reproducibility"", ""Reporting summary""]"
1413,10.1016/j.cell.2022.12.010,Molecular and spatial signatures of mouse brain aging at single-cell resolution,"[""RESOURCE AVAILABILITY"", ""EXPERIMENTAL MODEL AND SUBJECT DETAILS"", ""METHOD DETAILS"", ""MERFISH IMAGING"", ""QUANTIFICATION AND STATISTICAL ANALYSIS""]"
1427,10.1016/j.cell.2021.04.048,Integrated analysis of multimodal single-cell data,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
1446,10.1038/s41597-025-04381-6,Integrated cancer cell-specific single-cell RNA-seq datasets of immune checkpoint blockade-treated patients,"[""Data sources"", ""Data curation and standardization"", ""Quality control"", ""Merging"", ""Pre-processing"", ""Data preparation and analysis"", ""Deposit datasets and scripts""]"
1467,10.1038/s41586-021-04345-x,Local and systemic responses to SARS-CoV-2 infection in children and adults,"[""Study participants and design"", ""Sample collection"", ""Nasal and tracheal brushing tissue dissociation"", ""PBMC isolation from peripheral blood"", ""CITE-seq staining for single-cell proteogenomics"", ""Library generation and sequencing"", ""Single-cell RNA-seq computational pipelines, processing and analysis"", ""Metagenomics analysis"", ""Confocal microscopy method"", ""Airway single-cell RNA-seq data processing"", ""CITE-seq data processing"", ""Reporting summary""]"
1480,10.1038/s42255-022-00657-y,HypoMap—a unified single-cell gene expression atlas of the murine hypothalamus,"[""Dataset download"", ""Sequence alignment, UMI and gene count"", ""Dataset quality control"", ""Batch identification"", ""Doublet removal"", ""Data integration"", ""Cluster detection"", ""Marker gene detection"", ""Cluster annotation"", ""Region annotation"", ""Mapping of new data"", ""NucSeq comparative analysis"", ""Experimental methods"", ""Statistics"", ""Reporting summary""]"
1485,10.1038/s42255-023-00876-x,Delineating mouse β-cell identity during lifetime and in diabetes with a single cell atlas,"[""Generation of new mouse samples included in the atlas"", ""Datasets included in the atlas"", ""Datasets for atlas validation"", ""Preprocessing of datasets for atlas building"", ""Ambient gene identification"", ""Dataset quality control"", ""Dataset-wise cell annotation"", ""Batch-wise preprocessing for integration"", ""Integration selection"", ""Integration evaluation with Moran’s I conservation"", ""The final annotation of the integrated atlas"", ""Identification of endocrine cell type markers"", ""Comparison of embryonic and postnatal endocrine cells"", ""Reference mapping of the external mouse dataset"", ""Comparison of diabetes models to human T1D and T2D"", ""Coarse β-cell states and their markers"", ""Gene programs in β-cells"", ""Fine β-cell states"", ""Conserved β-cell heterogeneity in healthy samples"", ""Differential expression in T1D model and T2D model β-cells"", ""Differential expression in T1D model and T2D model endocrine cells"", ""Sex differences in β-cells during aging"", ""Laboratory validation of diabetes markers"", ""Reporting summary""]"
1487,10.1038/s41467-023-40173-5,Guided construction of single cell reference for human and mouse lung,"[""Ethical approval"", ""Collection and pre-processing of single cell/single nucleus RNA-seq of human lung"", ""Mice and Drop-seq of mouse lung development"", ""Guided construction of single-cell reference"", ""Construction of the LungMAP Human Lung CellRef"", ""Construction of the LungMAP Mouse Lung Development CellRef"", ""Automated CellRef annotation of scRNA-seq of normal and diseased human lung"", ""Evaluation of automated CellRef annotation based on prior knowledge"", ""Evaluation of automated CellRef cell type annotation using original annotations of published scRNA-seq data"", ""Evaluation of CellRef cell type annotations using 10-fold cross validation"", ""Cell type stability analysis"", ""Assessment of cell type identity mapping between CellRef and HLCA using pseudo-bulk-based correlation analysis"", ""Marker-based assessment of cell type accuracy using receiver operator characteristics (ROC) analysis"", ""Assessment of single-cell data integration using the Local Inverse Simpson’s Index (LISI) metrics"", ""Statistical analysis"", ""Reporting summary""]"
1504,10.1016/j.cell.2022.01.012,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
1507,10.1038/s41586-021-03852-1,Cells of the human intestinal tract mapped across space and time,"[""Patient samples"", ""Mouse samples"", ""Isolation of intestinal cells from fetal tissue"", ""Isolation of intestinal cells from adult tissue"", ""MACS enrichment"", ""Organoid culture"", ""RNA extraction, reverse transcription and quantitative PCR"", ""10x Genomics Chromium GEX library preparation and sequencing"", ""V(D)J sample preparation"", ""Plate-based Smart-seq2"", ""Pre-processing of 10x Genomics scRNA-seq data"", ""scRNA-seq quality control and processing of 10x sequencing data"", ""Cell-type annotation"", ""Cell-type scoring"", ""Intestinal organoid analysis"", ""Pre-processing and analysis of Smart-seq2 sequencing data"", ""Differential cell-state abundance analysis for BEST4 cells"", ""RNA velocity and diffusion map pseudotime analyses"", ""BCR analysis"", ""Cell–cell communication analysis"", ""Gene expression linked to enteric nervous system disease"", ""Cell-type composition analysis using metadata"", ""Cell-type enrichment analysis for IBD-GWAS genes"", ""Visium spatial transcriptomics sample preparation"", ""10x Genomics Visium data processing"", ""Spatial mapping of cell types with cell2location"", ""Cryosectioning, single-molecule fluorescence in situ hybridization and confocal imaging"", ""Flow cytometry validation of Fcgr on mice tuft cells"", ""Reporting summary""]"
1509,10.1038/s41591-023-02327-2,An integrated cell atlas of the lung in health and disease,"[""Ethics approval and consent"", ""Single-cell sequencing and preprocessing of data"", ""HLCA core data collection"", ""Metadata collection (HLCA core)"", ""General data preprocessing for the HLCA core"", ""Total count normalization with SCRAN"", ""Cell type reference creation and metadata harmonization"", ""Data integration benchmarking"", ""Splitting of studies into datasets"", ""Integration of HLCA core datasets with scANVI"", ""UMAP embedding and clustering"", ""Calculating cluster entropy of cell type labels and donors"", ""Thresholds for high label/donor entropy and doublet clusters"", ""Rare cell type analysis"", ""Manual cell type annotation"", ""Marker gene selection"", ""Variance between individuals explained by covariates"", ""Covariate dependence for interindividual variance"", ""Finding the minimum number of samples for variance modeling"", ""Cell type filtering covariate encoding for gene-level modeling"", ""Modeling gene-level interindividual variation and GSEA"", ""Mapping of GWAS results to the HLCA cell types"", ""Generating cell type signature matrices for deconvolution"", ""Deconvolution of bulk expression data using the HLCA core"", ""Extension of the HLCA core by mapping of new data"", ""Gene name harmonization"", ""Identification of genes associated with common batch effects"", ""Cell type label transfer from the HLCA core to new datasets"", ""Calibration of uncertainty cutoff for classifying as unknown"", ""Identifying clusters with spatially annotated cell types"", ""Disease signature score calculation"", ""Cross-dataset analysis of IPF-associated cell states"", ""Multidisease analysis"", ""Version information"", ""Reporting summary""]"
1511,10.1126/scitranslmed.abh2624,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,"[""Study design"", ""Isolation and preparation of PBMCs for scRNA-seq"", ""Single-cell multimodal immunophenotyping"", ""Single-cell library preparation and sequencing"", ""Genotyping, sample demultiplexing, and doublet detection"", ""Bulk RNA sequencing"", ""Single-cell epitope and RNA-seq preprocessing and alignment"", ""Single-cell epitope and RNA-seq processing and quality control"", ""Cell type classification"", ""Differential proportion and expression analysis"", ""Differential expression heatmaps"", ""ISG score method"", ""Flow cytometry validation of elevated surface LAIR1 in cMs for patients with COVID-19"", ""SARS-CoV-2 detection by clinical RT quantitative PCR"", ""RLBA for anti–IFN-α2 autoantibody detection"", ""Luciferase reporter assays"", ""Statistical analysis""]"
1514,10.1038/s41586-021-03910-8,An atlas of cortical arealization identifies dynamic molecular signatures,"[""Sample acquisition"", ""Single-cell RNA sequencing capture and processing"", ""Quality control and filtering"", ""Clustering strategy"", ""Hierarchical clustering of clusters"", ""Constellation plots"", ""Quantification of constellation plots"", ""Module eigengene calculations"", ""Area-specific markers and gene score calculations"", ""Transcription factor annotation"", ""Gene signature overlap and Sankey diagrams"", ""RNA velocity"", ""Validation marker gene selection"", ""Rebus Esper spatial ‘omics platform"", ""Kernel density estimation plots"", ""Spatial co-expression analysis"", ""Reporting summary""]"
1517,10.1038/s41591-021-01329-2,Single-cell multi-omics analysis of the immune response in COVID-19,"[""Ethics and sample collection"", ""Clinical status assignment"", ""PBMC isolation and dead cell removal"", ""TotalSeq-C antibody staining and 10x Chromium loading"", ""Library preparation and sequencing"", ""Alignment and quantification"", ""Doublet identification"", ""CITE-seq background signal removal"", ""Quality control, normalization, embedding and clustering"", ""Cluster differential abundance testing"", ""Relative importance of metadata on cell type composition"", ""Cydar analysis"", ""Comparisons of PBMC annotation using the Azimuth tool"", ""Interferon, TNF and JAK–STAT response scoring"", ""kBET analysis"", ""Bronchoalveolar lavage data analysis"", ""PAGA analysis of blood monocytes and BAL macrophages"", ""CellphoneDB"", ""Platelet activation"", ""HSPC commitment scoring"", ""Multiplex cytokine analysis"", ""Restimulation of PBMCs with SARS-Cov-2 peptide S"", ""Flow cytometry of stimulated cells"", ""GSEA analysis"", ""T cell clustering, annotation and visualization"", ""T cell differential gene expression analysis"", ""T cell receptor analysis"", ""Differential correlation analysis"", ""BCR V(D)J analysis"", ""BCR preprocessing"", ""BCR filtering"", ""B cell clone/clonotype definition"", ""B cell clone/clonotype network"", ""Definition of BCR convergence across participants"", ""Reporting Summary""]"
1545,10.1016/j.ccell.2022.10.008,High-resolution single-cell atlas reveals diversity and plasticity of tissue-resident neutrophils in non-small cell lung cancer,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis"", ""Additional resources""]"
1547,10.1016/j.cell.2021.01.053,COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,"[""Key Resources Table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
1551,10.1038/s41586-024-08172-8,An integrated transcriptomic cell atlas of human neural organoids,"[""Metadata curation and harmonization of human neural organoid scRNA-seq datasets"", ""Preprocessing of the HNOCA scRNA-seq data"", ""Hierarchical auto-annotation with snapseed"", ""Label-aware data integration with scPoli"", ""Benchmark of data integration methods"", ""Pseudotime inference"", ""Preprocessing of the human developing brain cell atlas scRNA-seq data"", ""Reference mapping of the organoid atlas to the primary atlas"", ""Bipartite weighted kNN graph reconstruction"", ""wkNN-based primary developing brain atlas label transfer to HNOCA cells"", ""Stage-matching analysis"", ""Presence scores and max presence scores of cells in the primary developing brain atlas"", ""Cell type composition comparison among morphogen usage using scCODA"", ""Cell type composition comparison among morphogen usage using regularized linear regression"", ""DE analysis between HNOCA neural cell types and their primary counterparts and functional enrichment analysis"", ""Transcriptomic similarity between HNOCA neural cell types and their primary counterparts in the human developing brain atlas"", ""Heterogeneity of the telencephalic trajectories"", ""Reference mapping of the neural organoid morphogen screen scRNA-seq data to the human developing brain atlas and HNOCA"", ""Retrieval and harmonization of disease-modelling human neural organoid scRNA-seq datasets"", ""Projection and label transfer-based annotation of the disease-modelling dataset"", ""Reconstruction of matched HNOCA metacells"", ""Re-analysis of GBM-2019 and FXS-2021 datasets"", ""F-test-based DE analysis for paired transcriptome"", ""Construction of the HNOCA Community Edition by query-to-reference mapping"", ""Reporting summary""]"
1561,10.1038/s41597-024-04117-y,A multi-region single nucleus transcriptomic atlas of Parkinson’s disease,"[""Cohort data collection"", ""snRNA-seq data generation"", ""Whole-genome sequencing""]"
